freq,psd_x,psd_y,psd_z,psd_xyz
155.4,5.273e+04,4.486e+03,4.446e+02,5.766e+04
157.0,5.952e+04,4.490e+03,4.659e+02,6.448e+04
158.6,6.465e+04,5.187e+03,5.583e+02,7.039e+04
160.2,6.991e+04,5.498e+03,4.912e+02,7.590e+04
161.8,7.466e+04,5.118e+03,5.376e+02,8.031e+04
163.3,7.275e+04,4.668e+03,8.825e+02,7.830e+04
164.9,6.538e+04,4.739e+03,2.891e+03,7.302e+04
166.5,6.438e+04,4.915e+03,5.652e+03,7.494e+04
168.1,5.577e+04,4.566e+03,7.317e+03,6.766e+04
169.7,4.362e+04,4.850e+03,7.739e+03,5.621e+04
171.3,2.968e+04,5.115e+03,7.277e+03,4.207e+04
172.9,2.018e+04,5.831e+03,6.159e+03,3.217e+04
174.4,1.805e+04,5.726e+03,5.237e+03,2.901e+04
176.0,1.755e+04,5.250e+03,4.414e+03,2.722e+04
177.6,1.568e+04,4.962e+03,3.325e+03,2.397e+04
179.2,1.245e+04,4.785e+03,2.596e+03,1.983e+04
180.8,8.765e+03,4.446e+03,2.437e+03,1.565e+04
182.4,6.827e+03,4.578e+03,2.208e+03,1.361e+04
184.0,8.027e+03,4.339e+03,2.081e+03,1.445e+04
185.6,9.675e+03,4.539e+03,1.929e+03,1.614e+04
187.1,7.518e+03,4.820e+03,1.723e+03,1.406e+04
188.7,5.663e+03,4.854e+03,1.455e+03,1.197e+04
190.3,6.572e+03,4.964e+03,1.130e+03,1.267e+04
191.9,8.689e+03,4.257e+03,9.007e+02,1.385e+04
193.5,1.006e+04,3.892e+03,8.529e+02,1.480e+04
195.1,1.072e+04,4.110e+03,9.728e+02,1.580e+04
196.7,1.153e+04,4.058e+03,1.046e+03,1.663e+04
198.2,1.359e+04,4.125e+03,1.465e+03,1.918e+04
199.8,2.866e+04,4.456e+03,2.400e+03,3.551e+04
