freq,psd_x,psd_y,psd_z,psd_xyz
103.9,8.771e+02,4.966e+04,9.899e+03,6.044e+04
105.5,4.922e+02,4.015e+04,7.241e+03,4.788e+04
107.1,4.261e+02,3.907e+04,6.154e+03,4.565e+04
108.7,4.498e+02,3.930e+04,5.504e+03,4.525e+04
110.3,4.846e+02,3.927e+04,4.940e+03,4.470e+04
111.9,5.287e+02,3.942e+04,4.401e+03,4.434e+04
113.5,5.692e+02,3.928e+04,3.861e+03,4.372e+04
115.1,5.976e+02,3.953e+04,3.460e+03,4.359e+04
116.7,6.026e+02,3.997e+04,3.117e+03,4.369e+04
118.3,5.668e+02,4.004e+04,2.804e+03,4.341e+04
119.9,4.920e+02,3.834e+04,2.393e+03,4.122e+04
121.5,4.201e+02,3.561e+04,1.999e+03,3.803e+04
123.1,3.626e+02,3.275e+04,1.634e+03,3.474e+04
124.7,2.896e+02,2.958e+04,1.255e+03,3.113e+04
126.3,2.213e+02,2.637e+04,9.392e+02,2.753e+04
127.9,1.754e+02,2.311e+04,7.101e+02,2.400e+04
129.5,1.445e+02,2.028e+04,5.468e+02,2.097e+04
131.1,2.025e+02,1.821e+04,4.103e+02,1.882e+04
132.7,4.023e+02,1.124e+04,2.675e+02,1.191e+04
134.3,4.677e+02,1.617e+03,9.938e+01,2.184e+03
135.9,4.015e+02,2.882e+02,7.822e+01,7.679e+02
137.5,4.464e+02,2.596e+02,7.354e+01,7.795e+02
139.1,5.377e+02,2.358e+02,6.541e+01,8.389e+02
140.7,5.668e+02,2.013e+02,6.416e+01,8.322e+02
142.3,6.153e+02,1.677e+02,6.370e+01,8.468e+02
143.9,6.703e+02,1.514e+02,6.244e+01,8.841e+02
145.5,6.766e+02,1.412e+02,6.322e+01,8.810e+02
147.1,6.390e+02,1.389e+02,6.327e+01,8.412e+02
148.7,5.823e+02,1.628e+02,6.498e+01,8.101e+02
150.3,5.225e+02,2.125e+02,6.291e+01,7.980e+02
151.9,4.365e+02,1.838e+02,6.510e+01,6.854e+02
153.5,3.712e+02,1.709e+02,6.844e+01,6.105e+02
155.1,3.194e+02,1.487e+02,6.886e+01,5.370e+02
156.7,2.877e+02,1.267e+02,6.564e+01,4.800e+02
158.3,2.689e+02,1.078e+02,6.224e+01,4.389e+02
159.9,2.271e+02,1.025e+02,6.126e+01,3.908e+02
161.5,1.879e+02,1.056e+02,6.411e+01,3.577e+02
163.1,1.611e+02,1.276e+02,6.750e+01,3.563e+02
164.7,1.633e+02,1.394e+02,7.020e+01,3.728e+02
166.3,1.655e+02,1.379e+02,6.925e+01,3.727e+02
167.9,1.389e+02,1.281e+02,7.073e+01,3.378e+02
169.5,1.182e+02,1.226e+02,6.413e+01,3.050e+02
171.1,1.010e+02,1.566e+02,6.403e+01,3.217e+02
172.7,8.391e+01,2.290e+02,6.978e+01,3.827e+02
174.3,7.481e+01,2.340e+02,7.819e+01,3.870e+02
175.9,7.032e+01,2.115e+02,9.483e+01,3.766e+02
177.5,6.229e+01,1.725e+02,7.144e+01,3.062e+02
179.1,6.507e+01,1.724e+02,6.158e+01,2.990e+02
180.7,6.790e+01,1.598e+02,6.139e+01,2.891e+02
182.2,7.130e+01,1.412e+02,5.663e+01,2.691e+02
183.8,8.281e+01,1.341e+02,5.545e+01,2.724e+02
185.4,9.387e+01,1.310e+02,5.824e+01,2.831e+02
187.0,9.061e+01,1.380e+02,5.393e+01,2.825e+02
188.6,9.207e+01,1.476e+02,5.991e+01,2.995e+02
190.2,9.340e+01,1.419e+02,6.126e+01,2.966e+02
191.8,8.973e+01,1.277e+02,6.355e+01,2.810e+02
193.4,8.218e+01,1.117e+02,6.701e+01,2.609e+02
195.0,6.857e+01,8.882e+01,7.856e+01,2.360e+02
196.6,6.079e+01,6.583e+01,8.827e+01,2.149e+02
198.2,4.620e+01,6.377e+01,1.013e+02,2.112e+02
199.8,3.846e+01,7.225e+01,1.067e+02,2.174e+02
