freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.866e+00,6.685e+01,1.370e+01,8.341e+01
1.6,1.293e+01,5.166e+01,4.997e+01,1.146e+02
3.2,1.528e+01,3.512e+01,5.066e+01,1.011e+02
4.8,1.462e+01,3.860e+02,5.198e+01,4.526e+02
6.4,1.586e+01,1.224e+03,5.066e+01,1.291e+03
8.0,1.706e+01,2.018e+03,5.182e+01,2.087e+03
9.6,1.814e+01,2.904e+03,5.061e+01,2.972e+03
11.2,2.138e+01,3.994e+03,4.949e+01,4.065e+03
12.8,2.500e+01,5.333e+03,5.163e+01,5.409e+03
14.4,2.852e+01,6.738e+03,5.041e+01,6.817e+03
16.0,3.574e+01,8.139e+03,5.365e+01,8.229e+03
17.6,4.526e+01,1.028e+04,5.466e+01,1.038e+04
19.2,3.593e+01,1.312e+04,5.670e+01,1.321e+04
20.8,1.857e+01,1.710e+04,6.240e+01,1.718e+04
22.4,2.635e+01,2.260e+04,6.251e+01,2.269e+04
24.0,8.091e+01,2.501e+04,6.425e+01,2.515e+04
25.6,1.220e+02,2.078e+04,6.018e+01,2.096e+04
27.2,1.361e+02,1.616e+04,5.833e+01,1.636e+04
28.8,1.344e+02,1.297e+04,6.079e+01,1.316e+04
30.4,1.201e+02,1.032e+04,6.520e+01,1.051e+04
32.0,1.055e+02,7.300e+03,6.874e+01,7.474e+03
33.6,6.546e+01,6.856e+03,8.068e+01,7.002e+03
35.2,3.466e+01,7.773e+03,1.146e+02,7.923e+03
36.8,4.865e+01,1.022e+04,1.871e+02,1.046e+04
38.4,6.928e+01,1.180e+04,2.208e+02,1.209e+04
40.0,7.149e+01,1.096e+04,2.066e+02,1.124e+04
41.6,6.890e+01,1.010e+04,1.845e+02,1.036e+04
43.2,5.944e+01,1.049e+04,2.080e+02,1.076e+04
44.8,5.685e+01,1.105e+04,2.188e+02,1.133e+04
46.4,5.817e+01,1.238e+04,2.421e+02,1.268e+04
48.0,5.527e+01,1.387e+04,2.609e+02,1.419e+04
49.6,4.465e+01,1.487e+04,3.004e+02,1.521e+04
51.2,3.975e+01,1.670e+04,3.375e+02,1.708e+04
52.8,4.033e+01,2.003e+04,3.764e+02,2.045e+04
54.4,4.537e+01,2.400e+04,4.927e+02,2.453e+04
56.0,6.041e+01,2.672e+04,6.804e+02,2.746e+04
57.6,7.676e+01,2.612e+04,8.634e+02,2.706e+04
59.2,1.103e+02,2.731e+04,1.108e+03,2.852e+04
60.7,1.612e+02,3.227e+04,1.573e+03,3.400e+04
62.3,2.297e+02,3.909e+04,2.402e+03,4.172e+04
63.9,4.052e+02,4.770e+04,3.782e+03,5.189e+04
65.5,1.268e+03,5.731e+04,7.543e+03,6.612e+04
67.1,2.564e+03,4.730e+04,1.040e+04,6.027e+04
68.7,2.858e+03,4.168e+04,1.181e+04,5.635e+04
70.3,3.069e+03,3.511e+04,1.295e+04,5.113e+04
71.9,3.200e+03,2.830e+04,1.458e+04,4.607e+04
73.5,3.181e+03,2.188e+04,1.547e+04,4.052e+04
75.1,3.039e+03,1.604e+04,1.533e+04,3.441e+04
76.7,2.727e+03,1.095e+04,1.484e+04,2.852e+04
78.3,2.329e+03,6.874e+03,1.419e+04,2.339e+04
79.9,1.910e+03,3.755e+03,1.311e+04,1.878e+04
81.5,1.252e+03,2.161e+03,1.125e+04,1.466e+04
83.1,6.869e+02,1.262e+03,9.512e+03,1.146e+04
84.7,5.761e+02,1.259e+03,8.664e+03,1.050e+04
86.3,6.721e+02,1.933e+03,7.967e+03,1.057e+04
87.9,9.051e+02,2.827e+03,7.904e+03,1.164e+04
89.5,1.368e+03,4.069e+03,8.004e+03,1.344e+04
91.1,2.187e+03,6.621e+03,8.548e+03,1.736e+04
92.7,3.491e+03,1.087e+04,9.859e+03,2.422e+04
94.3,4.908e+03,1.781e+04,1.163e+04,3.434e+04
95.9,4.504e+03,2.637e+04,1.358e+04,4.446e+04
97.5,3.417e+03,3.630e+04,1.521e+04,5.493e+04
99.1,2.656e+03,4.636e+04,1.555e+04,6.457e+04
100.7,2.113e+03,5.415e+04,1.450e+04,7.076e+04
102.3,1.527e+03,5.628e+04,1.258e+04,7.039e+04
