freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.479e+01,3.654e+00,8.125e+00,1.066e+02
1.6,6.527e+01,2.046e+01,4.318e+01,1.289e+02
3.2,3.171e+01,2.507e+01,4.950e+01,1.063e+02
4.8,3.740e+02,2.502e+01,5.377e+01,4.528e+02
6.4,1.177e+03,2.672e+01,5.667e+01,1.260e+03
8.0,1.877e+03,2.761e+01,5.274e+01,1.957e+03
9.6,2.664e+03,2.848e+01,4.981e+01,2.742e+03
11.2,3.589e+03,2.681e+01,5.366e+01,3.670e+03
12.8,4.705e+03,2.540e+01,5.453e+01,4.785e+03
14.4,6.034e+03,2.494e+01,5.461e+01,6.113e+03
16.0,7.646e+03,2.825e+01,5.716e+01,7.732e+03
17.6,9.358e+03,3.290e+01,1.056e+02,9.497e+03
19.2,9.340e+03,5.105e+01,1.790e+02,9.570e+03
20.8,1.069e+04,5.950e+01,1.227e+02,1.087e+04
22.4,1.302e+04,8.311e+01,1.006e+02,1.321e+04
24.0,1.444e+04,1.020e+02,1.131e+02,1.466e+04
25.6,1.568e+04,8.850e+01,1.309e+02,1.589e+04
27.2,1.739e+04,4.938e+01,1.463e+02,1.759e+04
28.8,1.680e+04,3.429e+01,1.483e+02,1.699e+04
30.4,1.259e+04,3.190e+01,1.127e+02,1.273e+04
32.0,1.033e+04,3.926e+01,8.532e+01,1.046e+04
33.5,1.047e+04,5.189e+01,8.599e+01,1.061e+04
35.1,1.082e+04,4.469e+01,8.248e+01,1.095e+04
36.7,1.157e+04,3.478e+01,8.036e+01,1.168e+04
38.3,1.260e+04,4.033e+01,7.475e+01,1.271e+04
39.9,1.364e+04,5.174e+01,7.364e+01,1.377e+04
41.5,1.531e+04,7.017e+01,8.217e+01,1.546e+04
43.1,1.674e+04,9.259e+01,9.109e+01,1.693e+04
44.7,1.736e+04,1.176e+02,9.682e+01,1.757e+04
46.3,1.827e+04,1.603e+02,9.955e+01,1.853e+04
47.9,1.931e+04,2.005e+02,9.930e+01,1.961e+04
49.5,1.964e+04,2.227e+02,9.608e+01,1.996e+04
51.1,2.065e+04,2.280e+02,7.667e+01,2.095e+04
52.7,2.307e+04,2.490e+02,6.475e+01,2.339e+04
54.3,2.576e+04,2.852e+02,6.960e+01,2.612e+04
55.9,2.782e+04,2.536e+02,6.926e+01,2.814e+04
57.5,2.859e+04,1.692e+02,6.237e+01,2.882e+04
59.1,3.060e+04,1.265e+02,6.640e+01,3.080e+04
60.7,3.433e+04,1.055e+02,7.716e+01,3.451e+04
62.3,3.905e+04,9.744e+01,1.021e+02,3.925e+04
63.9,4.481e+04,1.408e+02,1.693e+02,4.512e+04
65.5,5.059e+04,2.629e+02,2.368e+02,5.109e+04
67.1,5.295e+04,4.923e+02,2.885e+02,5.374e+04
68.7,5.451e+04,8.436e+02,3.435e+02,5.570e+04
70.3,6.169e+04,1.401e+03,3.958e+02,6.348e+04
71.9,7.289e+04,1.901e+03,4.118e+02,7.521e+04
73.5,8.858e+04,2.282e+03,4.350e+02,9.130e+04
75.1,1.117e+05,2.448e+03,3.939e+02,1.146e+05
76.7,1.429e+05,2.463e+03,3.147e+02,1.457e+05
78.3,1.834e+05,2.571e+03,2.893e+02,1.863e+05
