freq,psd_x,psd_y,psd_z,psd_xyz
79.9,2.460e+05,3.279e+03,3.709e+02,2.496e+05
81.5,2.551e+05,3.505e+03,4.878e+02,2.591e+05
83.1,2.368e+05,2.993e+03,5.553e+02,2.403e+05
84.7,2.232e+05,2.422e+03,6.473e+02,2.263e+05
86.3,2.060e+05,1.892e+03,8.439e+02,2.087e+05
87.9,1.926e+05,1.835e+03,1.009e+03,1.954e+05
89.5,1.810e+05,1.362e+03,1.032e+03,1.834e+05
91.1,1.722e+05,7.984e+02,9.834e+02,1.740e+05
92.7,1.516e+05,5.073e+02,6.754e+02,1.528e+05
94.3,1.178e+05,4.466e+02,4.145e+02,1.186e+05
95.9,7.377e+04,3.042e+02,4.594e+02,7.454e+04
97.5,3.823e+04,1.655e+02,4.256e+02,3.882e+04
99.0,1.837e+04,1.394e+02,2.974e+02,1.880e+04
100.6,9.842e+03,1.847e+02,2.225e+02,1.025e+04
102.2,8.650e+03,3.109e+02,2.039e+02,9.164e+03
103.8,1.097e+04,5.240e+02,1.810e+02,1.168e+04
105.4,1.487e+04,9.373e+02,1.791e+02,1.598e+04
107.0,2.305e+04,1.279e+03,1.644e+02,2.449e+04
108.6,3.353e+04,1.443e+03,1.647e+02,3.514e+04
110.2,4.360e+04,1.346e+03,1.649e+02,4.511e+04
111.8,5.021e+04,1.054e+03,1.507e+02,5.142e+04
113.4,5.168e+04,8.697e+02,1.515e+02,5.270e+04
115.0,5.441e+04,9.364e+02,1.206e+02,5.546e+04
116.6,5.929e+04,1.107e+03,7.435e+01,6.047e+04
118.2,6.486e+04,1.295e+03,8.555e+01,6.624e+04
119.8,6.879e+04,1.383e+03,1.646e+02,7.034e+04
121.4,6.997e+04,1.397e+03,2.846e+02,7.166e+04
123.0,6.991e+04,1.310e+03,4.311e+02,7.165e+04
124.6,6.873e+04,1.185e+03,4.774e+02,7.040e+04
126.2,6.752e+04,1.032e+03,4.707e+02,6.903e+04
127.8,6.473e+04,8.925e+02,4.458e+02,6.607e+04
129.4,6.201e+04,8.612e+02,4.295e+02,6.330e+04
131.0,5.782e+04,8.740e+02,4.320e+02,5.912e+04
132.6,3.481e+04,5.478e+02,2.979e+02,3.565e+04
134.2,6.818e+03,9.449e+01,8.428e+01,6.997e+03
135.8,2.995e+03,3.807e+01,5.353e+01,3.086e+03
137.4,2.524e+03,3.148e+01,5.346e+01,2.609e+03
139.0,2.112e+03,3.095e+01,5.368e+01,2.196e+03
140.6,1.837e+03,3.347e+01,5.369e+01,1.924e+03
142.2,1.649e+03,3.634e+01,5.940e+01,1.745e+03
143.8,1.402e+03,3.882e+01,5.765e+01,1.498e+03
145.4,1.264e+03,4.101e+01,5.093e+01,1.356e+03
147.0,1.326e+03,3.657e+01,5.209e+01,1.415e+03
148.6,1.707e+03,3.295e+01,5.808e+01,1.798e+03
150.2,2.217e+03,3.903e+01,5.850e+01,2.315e+03
151.8,2.211e+03,3.749e+01,6.068e+01,2.310e+03
153.4,2.036e+03,3.584e+01,6.220e+01,2.134e+03
155.0,1.837e+03,3.202e+01,6.331e+01,1.932e+03
156.6,1.673e+03,3.270e+01,6.636e+01,1.772e+03
158.2,1.570e+03,4.017e+01,6.495e+01,1.675e+03
159.8,1.470e+03,4.182e+01,7.092e+01,1.583e+03
161.4,1.336e+03,4.044e+01,9.678e+01,1.473e+03
163.0,1.294e+03,4.375e+01,1.114e+02,1.449e+03
164.5,1.185e+03,4.851e+01,1.002e+02,1.334e+03
166.1,1.032e+03,5.154e+01,9.231e+01,1.176e+03
167.7,9.089e+02,5.350e+01,9.345e+01,1.056e+03
169.3,8.096e+02,5.496e+01,8.323e+01,9.477e+02
170.9,7.629e+02,5.160e+01,7.957e+01,8.941e+02
172.5,7.301e+02,5.056e+01,9.606e+01,8.768e+02
174.1,6.562e+02,6.992e+01,1.098e+02,8.359e+02
175.7,5.346e+02,6.936e+01,9.741e+01,7.014e+02
177.3,3.955e+02,6.446e+01,9.118e+01,5.512e+02
178.9,3.728e+02,1.467e+02,1.388e+02,6.582e+02
180.5,3.896e+02,1.111e+02,1.346e+02,6.353e+02
182.1,2.823e+02,5.833e+01,1.048e+02,4.454e+02
183.7,2.466e+02,4.565e+01,9.795e+01,3.902e+02
185.3,2.069e+02,4.407e+01,9.117e+01,3.422e+02
186.9,1.828e+02,4.722e+01,7.730e+01,3.073e+02
188.5,1.692e+02,4.338e+01,6.962e+01,2.822e+02
190.1,1.395e+02,4.409e+01,6.894e+01,2.525e+02
191.7,1.051e+02,4.530e+01,7.941e+01,2.298e+02
193.3,7.868e+01,4.767e+01,8.213e+01,2.085e+02
194.9,5.675e+01,4.501e+01,8.271e+01,1.845e+02
196.5,4.686e+01,4.330e+01,7.595e+01,1.661e+02
198.1,3.931e+01,4.582e+01,7.539e+01,1.605e+02
199.7,3.571e+01,5.781e+01,7.410e+01,1.676e+02
